City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
117,oskarshamn,57.2645,16.4484,14.0,100,2,1.14,SE,1612075027
118,klyuchi,52.2667,79.1667,12.61,95,100,8.43,RU,1612075027
119,road town,18.4167,-64.6167,75.99,88,73,21.99,VG,1612075028
120,praia da vitoria,38.7333,-27.0667,64.4,88,75,12.86,PT,1612075028
121,bowen,-20.0167,148.2333,84.2,70,75,14.97,AU,1612075028
122,caravelas,-17.7125,-39.2481,73.83,88,54,3.67,BR,1612075028
123,husavik,66.0449,-17.3389,17.6,73,90,8.05,IS,1612075028
124,umm kaddadah,13.6017,26.6876,67.05,23,0,17.47,SD,1612075028
125,varkkallai,8.7341,76.7067,87.8,66,20,2.3,IN,1612075029
126,ambalavao,-21.8333,46.9333,78.12,56,0,4.9,MG,1612075024
127,ust-kan,50.9276,84.761,23.23,87,27,3.6,RU,1612075029
128,varhaug,58.6147,5.6457,28.0,93,75,2.3,NO,1612075029
129,pathein,16.7833,94.7333,91.47,26,89,9.91,MM,1612075029
130,vangaindrano,-23.35,47.6,84.74,69,30,5.55,MG,1612075029
131,mangalia,43.8,28.5833,39.99,93,0,3.44,RO,1612075029
132,bethel,41.3712,-73.414,14.0,72,1,4.9,US,1612074946
133,newport,51.5877,-2.9984,33.01,92,100,1.99,GB,1612075030
134,tiksi,71.6872,128.8694,-26.3,86,100,5.06,RU,1612074780
135,kamaishi,39.2667,141.8833,30.2,59,75,10.36,JP,1612075030
136,pirapora,-17.345,-44.9419,68.79,75,73,2.06,BR,1612075030
137,padang,-0.9492,100.3543,81.73,71,100,4.09,ID,1612075030
138,verkh-chebula,56.0308,87.6218,-13.86,87,67,8.52,RU,1612075031
139,sulangan,11.1373,123.7228,80.8,76,99,21.74,PH,1612075031
140,thompson,55.7435,-97.8558,14.0,85,90,2.64,CA,1612075031
141,tonj,7.2737,28.6822,81.55,16,98,6.73,SS,1612075031
142,tanda,26.55,82.65,68.05,34,0,4.29,IN,1612075032
